1,Lycée Argouges 
2,Bishop Wordsworth School 
3,Bishop Wordsworth School 
4,Bristol Grammar School 
5,Brockenhurst College 
6,Bournemouth School for Girls 
7,Clifton High School 
8,Clifton High School 
9,Lycée Emmanuel Mounier 
10,Gresham's 
11,Farnborough 
12,Hills Road Sixth Form College 
13,Hazelwick Comprehensive School 
14,Mirfield Free Grammar 
15,Munich
16,Peter Symonds
17,Peter Symonds 
18,Queen Elizabeth's Hospital School Bristol 
19,Queen Mary's College 
21,Southend School 
22,Southend School 
24,Tauntons College 
20,Red Maids Bristol 
23,St. Anne's 
